Date: 7/20/2022,*watched until 30:00,Feeder: South,Scent: Clove,Observer: Tia,Treatment: 1 full trays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,0,0,14,11,13,0,0,8,0,11,0,0,0,0,14,0,10,15,13,0,10,10,10,1,11,9,0,0,11,0,0,0,0,11,15,0,13,
Time_interval,Vid_time_interval,FO,FR-a,FO-a,FYY,FGG,FY-a,FBB,FFP,FR,GGW,BY,BW-a,BO-a,BR,BY-a,BWW2,PO,PO-a,PY-a,PR-a,PR,PBB,WY,WO,WGG,WY-a,WG,WBB,OWW,OW-a,RW-a,RB-a,RBB,YO-a,B_,P_,Recruits,Notes
9:40,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:41,0:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:42,0:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:43,0:03,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
9:44,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:45,0:05,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
9:46,0:06,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,Said YW-a->WY-a
9:47,0:07,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,Said OW-a->OWW
9:48,0:08,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
9:49,0:09,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,"Said YW?, FWY->FYY"
9:50,0:10,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
9:51,0:11,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,
9:52,0:12,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
9:53,0:13,,,,,1,,,,,,,,,,1,,1,1,1,,,1,,,,,,,,,,,,,1,,,PY->PY-a
9:54,0:14,,,,1,,,,,,,,,,,1,,,1,,,1,,1,,1,,,,,,,,,,,,,
9:55,0:15,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
9:56,0:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
9:57,0:17,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,1,,,
9:58,0:18,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
9:59,0:19,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,
10:00,0:20,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
10:01,0:21,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,,,,,1,1,,,
10:02,0:22,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
10:03,0:23,,,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
10:04,0:24,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,
10:05,0:25,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,
10:06,0:26,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,1,,1,
10:07,0:27,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08,0:28,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
10:09,0:29,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,
10:10,0:30,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
10:11,0:31,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:12,0:32,,,1,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,1,
10:13,0:33,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,1,,,,,1,,,,
10:14,0:34,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,
10:15,0:35,,,1,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,
10:16,0:36,,,1,,1,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,
10:17,0:37,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,
10:18,0:38,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
10:19,0:39,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
10:20,0:40,,,,,1,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,
10:21,0:41,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,
10:22,0:42,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,
10:23,0:43,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:24,0:44,,,,,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,
10:25,0:45,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
10:26,0:46,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,1,,,
10:27,0:47,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
10:28,0:48,,,,,,,,,,1,,,,,1,,1,,1,,,,,,,1,,,1,,,,,,,,,
10:29,0:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
10:30,0:50,,,,1,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,1,,,,
10:31,0:51,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,
10:32,0:52,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,
10:33,0:53,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,
10:34,0:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
10:35,0:55,,,1,1,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,1,,,,
10:36,0:56,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
10:37,0:57,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,
10:38,0:58,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,
10:39,0:59,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,1,,,,,,,,,2,,,